university_name,gre,tuition_per_semester,student_faculty_ratio,cost_of_living,job_placement_alumni_success,branch
California State University,297,17622.0,23.0,15548,78,Computer Science
Cleveland State University,292,15530.0,18.0,14192,81,Computer Science
Kent State University,299,20972.0,21.0,13722,84,Computer Science
New York Institute of Technology,291,28800.0,14.0,26970,88,Computer Science
University of Louisville,300,27954.0,15.0,16460,88,Computer Science
University of Houston,293,21749.0,22.0,14662,88,Computer Science
"California State University, Chico",299,19686.0,25.0,15360,86,Computer Science
Oklahoma City University,300,14000.0,11.0,13296,82,Computer Science
"State university of New York, Albany",298,27000.0,19.0,16400,78,Computer Science
"Illinois State University, Normal",297,24600.0,18.0,14542,84,Computer Science
"Texas A&M University, Commerce",291,17000.0,18.0,13582,81,Computer Science
"Colorada Technical University, Colorado Springs",300,12000.0,20.0,17900,84,Computer Science
North Dakota State University,294,9490.0,20.0,12952,83,Computer Science
Lamar University,294,8000.0,19.0,13662,80,Computer Science
University of Hawaii,295,12186.0,16.0,24150,80,Computer Science
Arizona State University,309,11300.0,19.0,16140,85,Computer Science
Stevens Institute of Technology,302,21600.0,25.0,27670,89,Computer Science
University of Central Florida,302,6379.0,30.0,16400,91,Computer Science
Drexel University,301,14516.0,10.0,25650,90,Computer Science
Florida State University,306,6507.0,22.0,16844,86,Computer Science
"University of Maryland, Baltimore County",305,11778.0,19.0,19068,91,Computer Science
George Mason University,301,12564.0,17.0,17424,85,Computer Science
University of Massachusetts Dartmouth,303,14497.0,18.0,15960,86,Computer Science
Georgia State University,307,9286.0,23.0,16512,87,Computer Science
University of Massachusetts Lowell,308,15180.0,17.0,16086,85,Computer Science
Illinois Institute of Technology,302,11630.0,13.0,26940,92,Computer Science
"University of Massachusetts, Boston",305,14493.0,16.0,17700,85,Computer Science
Indiana University- Purdue University Indianapolis,310,9308.0,16.0,14958,92,Computer Science
"University of Michigan, Dearborn",308,13890.0,18.0,16140,86,Computer Science
Kansas State University,305,24035.0,18.0,14352,87,Computer Science
"University of Missouri, Columbia",301,28901.0,17.0,14316,90,Computer Science
"University of Missouri, Kansas City",310,25918.0,16.0,14406,88,Computer Science
Louisiana State University and A&M College,310,28639.0,20.0,15966,86,Computer Science
"University of Nebraska, Omaha",306,22386.0,15.0,13674,92,Computer Science
Missouri University of Science and Technology,301,30684.0,18.0,14424,86,Computer Science
University of New Hampshire,306,33016.0,19.0,17200,86,Computer Science
New Jersey Institute of Technology,309,33696.0,16.0,26750,85,Computer Science
University of North Carolina at Charlotte,309,20692.0,19.0,16512,87,Computer Science
Northeastern University,302,27920.0,14.0,26550,86,Computer Science
University of North Texas,307,14621.0,25.0,14220,90,Computer Science
Northern Illinois University,309,16673.0,14.0,14502,91,Computer Science
University of Oklahoma,310,21100.0,17.0,14820,92,Computer Science
Oklahoma State University-Stillwater,305,22362.0,19.0,13722,90,Computer Science
University of South Carolina,301,28898.0,17.0,17184,90,Computer Science
Old Dominion University,305,26370.0,18.0,15324,87,Computer Science
University of South Florida,309,21126.0,22.0,16854,87,Computer Science
Rochester Institute of Technology,307,21126.0,22.0,27730,92,Computer Science
University of Texas at Arlington,307,21778.0,25.0,15984,88,Computer Science
"Rutgers University, Newark",304,31282.0,16.0,25200,85,Computer Science
University of Texas at Dallas,309,27043.0,23.0,18984,87,Computer Science
San Diego State University,310,17622.0,27.0,24072,87,Computer Science
University of Texas at San Antonio,301,21606.0,25.0,18440,87,Computer Science
San Francisco State University,304,18804.0,23.0,27960,86,Computer Science
University of Toledo,302,24660.0,20.0,15876,88,Computer Science
San Jose State University,302,27384.0,27.0,28152,89,Computer Science
University of Wisconsin-Milwaukee,302,24330.0,21.0,21176,86,Computer Science
Santa Clara University,305,52245.0,11.0,33760,91,Computer Science
Utah State University,306,26888.0,20.0,17864,85,Computer Science
"Southern Illinois University, Carbondale",306,29686.0,14.0,16432,92,Computer Science
Washington State University,301,27693.0,15.0,20672,88,Computer Science
Southern Methodist University,308,49358.0,11.0,31872,90,Computer Science
Wayne State University,303,31282.0,15.0,17664,87,Computer Science
"State University of New York, Albany",301,25920.0,19.0,25504,87,Computer Science
"West Virginia University, Morgantown",304,26966.0,19.0,18696,91,Computer Science
State University of New York at Binghamton,309,27761.0,18.0,21888,90,Computer Science
Western Michigan University,303,26842.0,17.0,18544,85,Computer Science
Pennsylvania State University,319,38728.0,16.0,26896,90,Computer Science
Ohio State University,313,32061.0,19.0,23896,95,Computer Science
North Carolina State University,319,28926.0,14.0,22504,95,Computer Science
Boston University,316,57710.0,10.0,35776,95,Computer Science
"University of Colorado, Boulder",319,34125.0,18.0,20984,93,Computer Science
Indiana University Bloomington,317,33741.0,16.0,19560,93,Computer Science
Arizona State University,318,28800.0,19.0,22336,90,Computer Science
"University of North Carolina, Greensboro",319,23854.0,18.0,17808,91,Computer Science
Louisiana State University,317,28639.0,20.0,17120,93,Computer Science
The University of Alabama at Birmingham,312,19032.0,19.0,18000,91,Computer Science
New York University,311,54880.0,9.0,40000,92,Computer Science
University of Iowa,317,32279.0,16.0,22256,92,Computer Science
"University of Michigan, Dearborn",318,30132.0,21.0,21440,94,Computer Science
"University of Texas, Dallas",318,27043.0,23.0,18984,93,Computer Science
University of South Florida,312,21126.0,22.0,18800,91,Computer Science
Colorado State University,318,30604.0,16.0,21544,92,Computer Science
University of Florida,320,30132.0,21.0,22336,90,Computer Science
Tulane University,314,56800.0,8.0,34656,90,Computer Science
University of Southern California,318,49464.0,8.0,37336,94,Computer Science
University of Pennsylvania,322,45890.0,6.0,42408,94,Computer Science
Rice University - George R. Brown School of Engineering,330,49112.0,6.0,38304,95,Computer Science
University of Michigan Ann Arbor - College of Engineering,329,30132.0,21.0,27632,93,Computer Science
Georgia Institute of Technology - College of Engineering,323,29848.0,21.0,25336,96,Computer Science
University of Illinois Urbana-Champaign - College of Engineering,322,32816.0,20.0,21728,96,Computer Science
Cornell University - College of Engineering,323,59282.0,9.0,39416,94,Computer Science
Johns Hopkins University - Whiting School of Engineering,326,55350.0,9.0,33888,95,Computer Science
Duke University - Pratt School of Engineering,329,56888.0,9.0,38896,95,Computer Science
Brown University - School of Engineering,324,58404.0,8.0,46352,95,Computer Science
Purdue University - College of Engineering,328,28794.0,13.0,22176,95,Computer Science
University of Texas Austin - Cockrell School of Engineering,328,22264.0,19.0,23104,97,Computer Science
University of Wisconsin Madison - College of Engineering,330,25294.0,17.0,24000,96,Computer Science
Iowa State University - College of Engineering,325,26032.0,19.0,19392,97,Computer Science
Northwestern University - Robert R. McCormick School of Engineering,328,57272.0,6.0,41312,93,Computer Science
Vanderbilt University - School of Engineering,321,53790.0,7.0,38450,96,Computer Science
University of Virginia - School of Engineering and Applied Sciences,328,31948.0,14.0,27824,93,Computer Science
University of Minnesota Twin Cities - College of Science and Engineering,328,28845.0,17.0,24616,96,Computer Science
Rensselaer Polytechnic Institute - School of Engineering,321,56225.0,15.0,39840,97,Computer Science
University of Rochester - Hajim School of Engineering and Applied Sciences,328,61090.0,10.0,39296,95,Computer Science
University of Southern California - Viterbi School of Engineering,326,57256.0,8.0,37336,93,Computer Science
University of Maryland College Park - A. James Clark School of Engineering,329,33000.0,15.0,29000,94,Computer Science
Ohio State University - College of Engineering,328,31418.0,19.0,23896,93,Computer Science
Virginia Tech - College of Engineering,326,29229.0,14.0,21008,97,Computer Science
University of California Irvine - Henry Samueli School of Engineering,330,43481.0,19.0,34400,93,Computer Science
Texas A&M University - Dwight Look College of Engineering,322,21060.0,19.0,20312,94,Computer Science
North Carolina State University - College of Engineering,329,28926.0,14.0,22504,95,Computer Science
University of California Santa Barbara - College of Engineering,330,28749.0,23.0,34400,95,Computer Science
University of Washington - College of Engineering,326,38166.0,19.0,28480,96,Computer Science
University of California Davis - College of Engineering,328,28659.0,20.0,35496,94,Computer Science
University of Colorado Boulder - College of Engineering and Applied Sciences,322,34125.0,18.0,20984,95,Computer Science
Harvard University,339,49653.0,7.0,35664,97,Computer Science
Stanford University,332,56169.0,4.0,42515,97,Computer Science
University of Pennsylvania,339,52420.0,6.0,42408,96,Computer Science
Columbia University,336,49968.0,6.0,49952,97,Computer Science
Cornell University,331,31270.0,9.0,39416,95,Computer Science
Yale University,331,44500.0,6.0,46240,97,Computer Science
"University of California, Los Angeles",340,42994.0,5.0,35578,95,Computer Science
"University of Maryland, College Park",332,33000.0,15.0,29000,96,Computer Science
Cornell University,340,57204.0,7.0,37152,96,Computer Science
Columbia University,332,49968.0,6.0,45280,97,Computer Science
Dartmouth College,340,57204.0,7.0,44320,98,Computer Science
California State University,300,18714.0,23.0,22236,85,Data Science
"California State University, Fresno",299,18852.0,23.0,20484,80,Data Science
Cleveland State University,292,15458.0,17.0,18000,83,Data Science
Kent State University,297,21952.0,21.0,18216,81,Data Science
New York Institute of Technology,291,38400.0,14.0,28704,78,Data Science
University of Louisville,296,27954.0,14.0,17640,78,Data Science
University of Houston,295,26519.0,23.0,18104,86,Data Science
"California State University, Chico",294,19691.0,24.0,21612,84,Data Science
Oklahoma City University,298,29020.0,11.0,18800,82,Data Science
"State University of New York, Albany",300,25920.0,19.0,25504,81,Data Science
"Texas A & M University, Commerce",299,23305.0,21.0,16672,87,Data Science
Lamar University,290,18491.0,17.0,16768,85,Data Science
University of Hawaii,290,36816.0,13.0,25740,81,Data Science
University of Denver,290,52662.0,12.0,34816,86,Data Science
Loyola University Chicago,291,45543.0,14.0,35200,84,Data Science
"Illinois State University, Normal",290,22341.0,18.0,17200,88,Data Science
"Temple University, PA",295,32858.0,14.0,27104,88,Data Science
Jackson State University,300,24553.0,16.0,15784,87,Data Science
Long Island University,299,42310.0,12.0,30120,83,Data Science
Bradley University,298,34330.0,12.0,21480,87,Data Science
University of Bridgeport –CT,299,30802.0,15.0,28600,87,Data Science
University of Dayton –Ohio,294,45890.0,15.0,23000,80,Data Science
"Texas A & M university, Kingsville",296,16543.0,20.0,16432,78,Data Science
"University of West Florida, Pensacola",298,19241.0,21.0,17880,78,Data Science
Eastern Michigan University,291,27766.0,15.0,20584,85,Data Science
"Minnesota State University, Mankato",290,17898.0,22.0,18000,81,Data Science
"Suffolk University, MA",290,33624.0,14.0,35776,85,Data Science
"University of North Carolina, Greensboro",296,27770.0,17.0,17808,81,Data Science
